update_id,best_bid_price,best_bid_qty,best_ask_price,best_ask_qty,transaction_time,event_time
4077923750453,0.05507000,3.35000000,0.05508000,5.06000000,1709337604362,1709337606399
4077923888583,0.05507000,3.35000000,0.05508000,4.88000000,1709337604961,1709337606705
4077923889755,0.05507000,3.35000000,0.05508000,5.06000000,1709337604965,1709337606708
4077924017181,0.05507000,3.35000000,0.05508000,4.51000000,1709337605678,1709337606993
4077924030358,0.05507000,3.90000000,0.05508000,4.51000000,1709337605719,1709337607065
4077924036239,0.05507000,3.90000000,0.05508000,3.03000000,1709337605738,1709337607082
4077924049655,0.05507000,3.90000000,0.05508000,1.29000000,1709337605788,1709337607109
4077924054830,0.05507000,3.90000000,0.05508000,0.18000000,1709337605807,1709337607118
4077924057488,0.05507000,4.44000000,0.05508000,0.18000000,1709337605820,1709337607122
4077924076932,0.05507000,4.44000000,0.05508000,0.13000000,1709337605912,1709337607153
4077924138706,0.05507000,4.44000000,0.05508000,0.10000000,1709337606209,1709337607360
4077924173348,0.05507000,4.44000000,0.05508000,1.60000000,1709337606423,1709337607486
4077924179994,0.05507000,4.44000000,0.05508000,3.03000000,1709337606459,1709337607521
4077924217884,0.05507000,4.44000000,0.05508000,2.95000000,1709337606684,1709337607685
4077924218299,0.05507000,4.44000000,0.05508000,2.93000000,1709337606687,1709337607686
4077924254541,0.05507000,3.89000000,0.05508000,2.93000000,1709337606917,1709337607764
4077924255243,0.05507000,3.89000000,0.05508000,4.67000000,1709337606920,1709337607764
4077924333006,0.05507000,3.89000000,0.05508000,4.61000000,1709337607299,1709337608005
4077924690634,0.05507000,4.44000000,0.05508000,4.61000000,1709337610168,1709337610175
4077924757666,0.05507000,4.44000000,0.05508000,2.87000000,1709337610720,1709337610737
4077924759298,0.05507000,4.44000000,0.05508000,1.43000000,1709337610739,1709337610750
4077924861144,0.05507000,4.44000000,0.05509000,0.45000000,1709337611769,1709337611775
4077924861641,0.05508000,0.17000000,0.05509000,0.45000000,1709337611774,1709337611779
4077924861649,0.05508000,0.37000000,0.05509000,0.45000000,1709337611774,1709337611779
4077924861865,0.05508000,1.40000000,0.05509000,0.45000000,1709337611775,1709337611782
4077924891338,0.05508000,1.40000000,0.05509000,1.87000000,1709337612031,1709337612037
4077924891395,0.05508000,2.85000000,0.05509000,1.87000000,1709337612031,1709337612037
4077924892359,0.05508000,2.85000000,0.05509000,3.38000000,1709337612038,1709337612046
4077924969087,0.05508000,3.15000000,0.05509000,3.38000000,1709337612881,1709337612889
4077924969582,0.05508000,3.23000000,0.05509000,3.38000000,1709337612882,1709337612889
4077925716580,0.05508000,3.23000000,0.05509000,3.33000000,1709337619925,1709337619931
4077925820056,0.05508000,4.83000000,0.05509000,3.33000000,1709337621075,1709337621082
4077925918174,0.05509000,0.26000000,0.05511000,4.98000000,1709337622300,1709337622306
4077925918225,0.05509000,0.46000000,0.05511000,4.98000000,1709337622300,1709337622306
4077925918233,0.05509000,0.66000000,0.05511000,4.98000000,1709337622300,1709337622306
4077925918237,0.05509000,0.86000000,0.05511000,4.98000000,1709337622301,1709337622306
4077925918290,0.05510000,0.27000000,0.05512000,6.99000000,1709337622301,1709337622306
4077925918323,0.05510000,1.23000000,0.05512000,6.99000000,1709337622301,1709337622308
4077925918324,0.05510000,1.49000000,0.05512000,6.99000000,1709337622301,1709337622308
4077925918373,0.05510000,1.49000000,0.05512000,5.99000000,1709337622301,1709337622308
4077925918483,0.05510000,1.49000000,0.05512000,3.40000000,1709337622302,1709337622308
4077925918495,0.05510000,1.77000000,0.05512000,3.40000000,1709337622302,1709337622311
4077925918691,0.05510000,1.97000000,0.05512000,3.40000000,1709337622303,1709337622311
4077925918878,0.05510000,1.01000000,0.05512000,3.40000000,1709337622304,1709337622311
4077925918915,0.05510000,0.75000000,0.05512000,3.40000000,1709337622304,1709337622311
4077925918919,0.05510000,0.48000000,0.05512000,3.40000000,1709337622304,1709337622311
4077925918978,0.05511000,0.28000000,0.05512000,1.80000000,1709337622305,1709337622311
4077925919009,0.05511000,0.28000000,0.05512000,0.20000000,1709337622305,1709337622311
4077925919247,0.05511000,0.28000000,0.05512000,0.75000000,1709337622307,1709337622313
4077925919355,0.05511000,0.28000000,0.05512000,0.55000000,1709337622308,1709337622313
4077925919668,0.05510000,0.92000000,0.05511000,0.26000000,1709337622311,1709337622318
4077925920127,0.05510000,0.92000000,0.05511000,0.46000000,1709337622316,1709337622322
4077925920407,0.05510000,0.92000000,0.05511000,0.75000000,1709337622320,1709337622328
4077925925017,0.05510000,0.92000000,0.05511000,2.49000000,1709337622379,1709337622386
4077925927486,0.05510000,0.92000000,0.05511000,3.85000000,1709337622409,1709337622415
