update_id,best_bid_price,best_bid_qty,best_ask_price,best_ask_qty,transaction_time,event_time
4286046620155,0.05129000,3.91000000,0.05130000,4.05000000,1711497606502,1711497608988
4286048150891,0.05129000,3.91000000,0.05130000,2.76000000,1711497621241,1711497621250
4286048170630,0.05129000,4.71000000,0.05130000,2.76000000,1711497621304,1711497621315
4286048224390,0.05129000,4.93000000,0.05130000,2.53000000,1711497621551,1711497621557
4286048225037,0.05129000,4.93000000,0.05130000,2.30000000,1711497621557,1711497621565
4286048225880,0.05129000,4.93000000,0.05130000,2.07000000,1711497621566,1711497621572
4286048333307,0.05129000,4.93000000,0.05130000,3.61000000,1711497622704,1711497622713
4286048420316,0.05129000,4.85000000,0.05130000,3.61000000,1711497623575,1711497623586
4286048427383,0.05129000,4.93000000,0.05130000,3.61000000,1711497623600,1711497623608
4286048480545,0.05129000,4.13000000,0.05130000,3.61000000,1711497623805,1711497623815
4286049089113,0.05129000,5.73000000,0.05130000,3.61000000,1711497630270,1711497630283
4286049092668,0.05129000,7.33000000,0.05130000,3.61000000,1711497630287,1711497630297
4286049328598,0.05129000,5.73000000,0.05130000,3.61000000,1711497632784,1711497632792
4286049788981,0.05129000,4.13000000,0.05130000,3.61000000,1711497637044,1711497637050
4286049789275,0.05129000,5.33000000,0.05130000,3.61000000,1711497637047,1711497637054
4286050017219,0.05129000,4.13000000,0.05130000,3.61000000,1711497639904,1711497639911
4286050017633,0.05129000,4.53000000,0.05130000,3.61000000,1711497639907,1711497639914
4286050019886,0.05129000,4.13000000,0.05130000,3.61000000,1711497639924,1711497639932
4286050151750,0.05129000,4.13000000,0.05130000,4.96000000,1711497641330,1711497641336
4286051094731,0.05129000,4.13000000,0.05130000,3.61000000,1711497651360,1711497651368
4286051473458,0.05129000,4.13000000,0.05130000,3.21000000,1711497656035,1711497656042
4286051473478,0.05129000,4.13000000,0.05130000,2.61000000,1711497656036,1711497656042
4286051473808,0.05129000,4.13000000,0.05130000,4.20000000,1711497656039,1711497656044
4286051474099,0.05129000,4.45000000,0.05130000,4.20000000,1711497656041,1711497656047
4286052040554,0.05129000,4.45000000,0.05130000,5.08000000,1711497662982,1711497662987
4286052072998,0.05129000,4.45000000,0.05130000,6.43000000,1711497663122,1711497663131
4286052244040,0.05129000,3.99000000,0.05130000,6.43000000,1711497664559,1711497664565
4286052246064,0.05129000,3.68000000,0.05130000,6.43000000,1711497664583,1711497664588
4286052246066,0.05129000,3.66000000,0.05130000,6.43000000,1711497664583,1711497664588
