update_id,best_bid_price,best_bid_qty,best_ask_price,best_ask_qty,transaction_time,event_time
4031783428420,0.05762000,1.75000000,0.05763000,3.74000000,1708732803443,1708732804803
4031783428740,0.05762000,1.75000000,0.05763000,3.71000000,1708732803444,1708732804804
4031783446420,0.05762000,1.71000000,0.05763000,3.71000000,1708732803486,1708732804842
4031783667906,0.05762000,2.04000000,0.05763000,3.71000000,1708732803923,1708732805301
4031783706338,0.05762000,1.71000000,0.05763000,3.71000000,1708732804048,1708732805388
4031784132039,0.05762000,1.67000000,0.05763000,3.71000000,1708732807163,1708732807181
4031784152727,0.05762000,2.00000000,0.05763000,3.71000000,1708732807305,1708732807328
4031784188580,0.05762000,2.00000000,0.05763000,2.58000000,1708732807456,1708732807472
4031784199361,0.05762000,2.00000000,0.05763000,1.22000000,1708732807499,1708732807527
4031784202325,0.05762000,2.00000000,0.05763000,0.43000000,1708732807509,1708732807532
4031784206522,0.05762000,2.00000000,0.05764000,1.00000000,1708732807527,1708732807541
4031784211085,0.05763000,0.33000000,0.05764000,1.00000000,1708732807550,1708732807558
4031784213049,0.05763000,0.33000000,0.05765000,0.88000000,1708732807558,1708732807565
4031784221288,0.05764000,0.45000000,0.05765000,0.88000000,1708732807591,1708732807599
4031784247814,0.05764000,0.45000000,0.05765000,2.03000000,1708732807727,1708732807732
4031784247970,0.05764000,0.64000000,0.05765000,2.03000000,1708732807727,1708732807733
4031784260937,0.05764000,1.69000000,0.05765000,2.03000000,1708732807824,1708732807831
4031784260940,0.05764000,1.69000000,0.05765000,3.28000000,1708732807824,1708732807831
4031784260968,0.05764000,2.79000000,0.05765000,3.28000000,1708732807824,1708732807831
4031784261319,0.05764000,2.79000000,0.05765000,4.29000000,1708732807826,1708732807831
4031784565383,0.05764000,2.79000000,0.05765000,3.62000000,1708732811258,1708732811265
4031785463619,0.05764000,3.12000000,0.05765000,3.62000000,1708732822392,1708732822400
4031785473467,0.05764000,3.12000000,0.05765000,3.41000000,1708732822426,1708732822434
4031785474603,0.05764000,3.12000000,0.05765000,2.16000000,1708732822435,1708732822443
4031785479340,0.05764000,3.12000000,0.05765000,1.59000000,1708732822461,1708732822467
4031785494444,0.05764000,3.12000000,0.05765000,1.02000000,1708732822602,1708732822608
4031785513264,0.05764000,3.12000000,0.05765000,0.22000000,1708732822934,1708732822941
4031785514118,0.05764000,3.12000000,0.05766000,0.95000000,1708732822939,1708732822945
4031785514609,0.05764000,3.12000000,0.05766000,0.79000000,1708732822942,1708732822949
4031785514663,0.05765000,0.61000000,0.05766000,0.79000000,1708732822943,1708732822949
4031785514665,0.05765000,0.86000000,0.05766000,0.79000000,1708732822943,1708732822949
4031785514706,0.05765000,1.19000000,0.05766000,0.79000000,1708732822943,1708732822949
4031785514724,0.05765000,1.71000000,0.05766000,0.79000000,1708732822943,1708732822949
4031785514725,0.05765000,1.71000000,0.05766000,1.82000000,1708732822943,1708732822949
4031785514728,0.05765000,2.78000000,0.05766000,1.82000000,1708732822943,1708732822949
4031785515286,0.05765000,2.78000000,0.05766000,2.85000000,1708732822949,1708732822956
4031785535043,0.05765000,2.78000000,0.05766000,4.07000000,1708732823277,1708732823283
4031785535065,0.05765000,4.01000000,0.05766000,4.07000000,1708732823277,1708732823283
4031785544299,0.05765000,3.97000000,0.05766000,4.07000000,1708732823410,1708732823416
4031785560123,0.05765000,3.97000000,0.05766000,3.91000000,1708732823747,1708732823752
4031785680553,0.05765000,3.64000000,0.05766000,3.91000000,1708732825484,1708732825489
4031787597812,0.05765000,3.64000000,0.05766000,3.73000000,1708732856176,1708732856185
4031787599044,0.05765000,3.97000000,0.05766000,3.73000000,1708732856179,1708732856189
4031787602890,0.05765000,3.97000000,0.05766000,2.70000000,1708732856185,1708732856198
4031787613405,0.05765000,4.91000000,0.05766000,2.70000000,1708732856211,1708732856226
4031787615663,0.05765000,4.91000000,0.05766000,2.51000000,1708732856217,1708732856232
4031787618733,0.05765000,4.91000000,0.05766000,2.69000000,1708732856225,1708732856243
4031787623022,0.05765000,4.91000000,0.05766000,2.30000000,1708732856237,1708732856255
4031787623043,0.05765000,4.91000000,0.05766000,0.70000000,1708732856237,1708732856255
4031787623607,0.05765000,6.51000000,0.05766000,0.70000000,1708732856239,1708732856257
4031787624647,0.05765000,4.91000000,0.05766000,0.70000000,1708732856243,1708732856257
4031787626191,0.05765000,4.58000000,0.05766000,0.70000000,1708732856247,1708732856261
4031787628885,0.05766000,0.27000000,0.05767000,1.10000000,1708732856256,1708732856266
4031787634641,0.05766000,0.96000000,0.05767000,1.10000000,1708732856272,1708732856282
4031787634663,0.05766000,1.82000000,0.05767000,1.10000000,1708732856273,1708732856282
4031787634672,0.05766000,2.09000000,0.05767000,1.10000000,1708732856273,1708732856282
4031787635382,0.05766000,2.09000000,0.05767000,2.13000000,1708732856274,1708732856283
4031787635864,0.05766000,3.22000000,0.05767000,2.13000000,1708732856276,1708732856285
4031787637905,0.05766000,3.22000000,0.05767000,1.21000000,1708732856282,1708732856290
4031787666516,0.05766000,4.46000000,0.05767000,1.21000000,1708732856470,1708732856476
4031787666519,0.05766000,4.46000000,0.05767000,2.34000000,1708732856470,1708732856476
4031787667069,0.05766000,5.53000000,0.05767000,2.34000000,1708732856474,1708732856479
4031787667114,0.05766000,5.53000000,0.05767000,3.43000000,1708732856475,1708732856481
4031787695978,0.05766000,5.93000000,0.05767000,3.43000000,1708732856618,1708732856626
4031787706641,0.05766000,5.24000000,0.05767000,3.43000000,1708732856647,1708732856654
4031787706721,0.05766000,4.38000000,0.05767000,3.43000000,1708732856647,1708732856654
4031787709761,0.05766000,3.98000000,0.05767000,3.43000000,1708732856657,1708732856665
4031787738419,0.05766000,4.38000000,0.05767000,3.43000000,1708732856793,1708732856799
4031787791167,0.05766000,3.98000000,0.05767000,3.43000000,1708732857677,1708732857682
4031787800199,0.05766000,3.71000000,0.05767000,3.43000000,1708732857746,1708732857759
4031787801776,0.05766000,3.44000000,0.05767000,3.43000000,1708732857748,1708732857764
4031787905872,0.05766000,3.44000000,0.05767000,3.76000000,1708732858143,1708732858153
4031788677770,0.05766000,2.31000000,0.05767000,3.76000000,1708732862702,1708732862708
4031788712777,0.05766000,1.24000000,0.05767000,3.76000000,1708732862837,1708732862847
4031788798663,0.05766000,2.43000000,0.05767000,3.76000000,1708732863172,1708732863177
4031789025517,0.05766000,3.50000000,0.05767000,3.76000000,1708732865037,1708732865044
4031789081323,0.05766000,3.50000000,0.05767000,3.43000000,1708732865237,1708732865245
4031789197183,0.05766000,3.48000000,0.05767000,3.43000000,1708732866073,1708732866079
4031789367497,0.05766000,3.48000000,0.05767000,3.25000000,1708732867572,1708732867581
