update_id,best_bid_price,best_bid_qty,best_ask_price,best_ask_qty,transaction_time,event_time
3996909337488,0.05397000,5.00000000,0.05398000,5.36000000,1708214408836,1708214408840
3996909337525,0.05397000,4.79000000,0.05398000,5.36000000,1708214408836,1708214408840
3996909337939,0.05397000,4.70000000,0.05398000,5.36000000,1708214408840,1708214408844
3996909366241,0.05397000,4.70000000,0.05398000,5.82000000,1708214409076,1708214409084
3996909475163,0.05397000,4.70000000,0.05398000,5.36000000,1708214409764,1708214409775
3996910517790,0.05397000,5.66000000,0.05398000,5.36000000,1708214422149,1708214422155
3996910598818,0.05397000,6.86000000,0.05398000,5.36000000,1708214422906,1708214422912
3996910609200,0.05397000,5.66000000,0.05398000,5.36000000,1708214423001,1708214423009
3996910610211,0.05397000,6.06000000,0.05398000,5.36000000,1708214423006,1708214423013
3996910613245,0.05397000,5.66000000,0.05398000,5.36000000,1708214423026,1708214423031
3996910667337,0.05397000,4.70000000,0.05398000,5.36000000,1708214423648,1708214423653
3996910681082,0.05397000,6.30000000,0.05398000,5.36000000,1708214423852,1708214423858
3996910687078,0.05397000,7.90000000,0.05398000,5.36000000,1708214423946,1708214423953
3996910695219,0.05397000,11.10000000,0.05398000,5.36000000,1708214424066,1708214424071
3996910798163,0.05397000,11.50000000,0.05398000,5.36000000,1708214425445,1708214425451
3996910809350,0.05397000,12.30000000,0.05398000,5.36000000,1708214425554,1708214425559
3996910880929,0.05397000,11.50000000,0.05398000,5.36000000,1708214426668,1708214426672
3996910941483,0.05397000,12.30000000,0.05398000,5.36000000,1708214427795,1708214427801
3996910953306,0.05397000,13.16000000,0.05398000,5.36000000,1708214428003,1708214428009
3996911150936,0.05397000,13.16000000,0.05398000,3.89000000,1708214431598,1708214431604
3996911192903,0.05397000,17.79000000,0.05398000,3.89000000,1708214432481,1708214432486
3996911193017,0.05397000,17.79000000,0.05398000,2.13000000,1708214432484,1708214432490
3996911428384,0.05397000,17.79000000,0.05398000,3.61000000,1708214437310,1708214437317
3996911430989,0.05397000,17.79000000,0.05398000,5.12000000,1708214437315,1708214437324
3996911433448,0.05397000,16.99000000,0.05398000,5.12000000,1708214437324,1708214437333
3996911442789,0.05397000,17.79000000,0.05398000,5.12000000,1708214437365,1708214437371
3996911443917,0.05397000,16.99000000,0.05398000,5.12000000,1708214437372,1708214437376
3996911655458,0.05397000,16.59000000,0.05398000,5.12000000,1708214440751,1708214440756
3996911959440,0.05397000,14.99000000,0.05398000,5.12000000,1708214445759,1708214445763
3996911959513,0.05397000,15.79000000,0.05398000,5.12000000,1708214445761,1708214445767
3996912094656,0.05397000,14.93000000,0.05398000,5.12000000,1708214449021,1708214449026
3996912094987,0.05397000,14.93000000,0.05398000,5.41000000,1708214449024,1708214449030
3996912171999,0.05397000,14.13000000,0.05398000,5.41000000,1708214450219,1708214450223
3996912347307,0.05397000,15.20000000,0.05398000,5.41000000,1708214454046,1708214454052
3996912353130,0.05397000,16.80000000,0.05398000,5.41000000,1708214454182,1708214454187
3996912435229,0.05397000,16.80000000,0.05398000,5.58000000,1708214456010,1708214456016
3996912438681,0.05397000,15.20000000,0.05398000,5.58000000,1708214456030,1708214456038
3996912438992,0.05397000,16.00000000,0.05398000,5.58000000,1708214456033,1708214456039
3996912439899,0.05397000,15.20000000,0.05398000,5.58000000,1708214456039,1708214456047
3996912440271,0.05397000,15.60000000,0.05398000,5.58000000,1708214456042,1708214456048
