update_id,best_bid_price,best_bid_qty,best_ask_price,best_ask_qty,transaction_time,event_time
4271036206297,0.05143000,6.10000000,0.05144000,15.13000000,1711324800131,1711324800140
4271036206438,0.05143000,6.10000000,0.05144000,14.96000000,1711324800132,1711324800140
4271036207892,0.05143000,6.10000000,0.05144000,15.04000000,1711324800138,1711324800144
4271036207937,0.05143000,6.10000000,0.05144000,15.21000000,1711324800139,1711324800144
4271039271625,0.05143000,6.10000000,0.05144000,15.13000000,1711324805287,1711324806869
4271039271645,0.05143000,6.10000000,0.05144000,14.96000000,1711324805287,1711324806869
4271039299390,0.05143000,5.25000000,0.05144000,14.96000000,1711324805396,1711324806954
4271039299399,0.05143000,4.82000000,0.05144000,14.96000000,1711324805396,1711324806954
4271039350846,0.05143000,4.76000000,0.05144000,14.96000000,1711324805556,1711324807079
4271039350847,0.05143000,3.86000000,0.05144000,14.96000000,1711324805556,1711324807079
4271040378841,0.05143000,3.86000000,0.05144000,14.08000000,1711324812651,1711324812660
4271040379565,0.05143000,3.86000000,0.05144000,13.22000000,1711324812659,1711324812666
4271040435721,0.05143000,3.86000000,0.05144000,13.01000000,1711324813244,1711324813253
4271040436498,0.05143000,3.86000000,0.05144000,12.65000000,1711324813247,1711324813256
4271040495381,0.05143000,3.86000000,0.05144000,12.31000000,1711324813773,1711324813779
4271040495841,0.05143000,4.82000000,0.05144000,12.31000000,1711324813780,1711324813788
4271040503285,0.05143000,4.82000000,0.05144000,12.01000000,1711324813834,1711324813840
4271040511926,0.05143000,4.82000000,0.05144000,11.78000000,1711324813895,1711324813900
4271040516468,0.05143000,4.82000000,0.05144000,11.57000000,1711324813911,1711324813917
4271040525806,0.05143000,4.82000000,0.05144000,11.34000000,1711324813996,1711324814002
4271040698288,0.05143000,4.82000000,0.05144000,11.12000000,1711324816043,1711324816051
4271040701303,0.05143000,4.82000000,0.05144000,11.05000000,1711324816055,1711324816062
4271040701451,0.05143000,4.82000000,0.05144000,10.97000000,1711324816057,1711324816065
4271040705275,0.05143000,4.82000000,0.05144000,10.75000000,1711324816072,1711324816079
4271040705888,0.05143000,4.82000000,0.05144000,10.40000000,1711324816074,1711324816081
4271040707415,0.05143000,4.82000000,0.05144000,9.83000000,1711324816081,1711324816089
4271040707544,0.05143000,4.82000000,0.05144000,9.60000000,1711324816082,1711324816090
4271040710933,0.05143000,4.82000000,0.05144000,9.37000000,1711324816097,1711324816104
4271040711341,0.05143000,4.82000000,0.05144000,9.13000000,1711324816099,1711324816107
4271040711498,0.05143000,4.82000000,0.05144000,8.69000000,1711324816101,1711324816108
4271040711519,0.05143000,4.82000000,0.05144000,8.46000000,1711324816101,1711324816108
4271040719882,0.05143000,4.82000000,0.05144000,7.95000000,1711324816162,1711324816167
4271040722039,0.05143000,4.82000000,0.05144000,7.39000000,1711324816186,1711324816191
4271040726553,0.05143000,4.82000000,0.05144000,6.87000000,1711324816234,1711324816240
4271040727103,0.05143000,4.82000000,0.05144000,6.64000000,1711324816239,1711324816245
4271040761190,0.05143000,4.82000000,0.05144000,6.41000000,1711324816614,1711324816620
4271040761556,0.05143000,4.82000000,0.05144000,5.83000000,1711324816618,1711324816623
4271040782972,0.05143000,4.82000000,0.05144000,5.59000000,1711324816811,1711324816880
4271040783141,0.05143000,4.82000000,0.05144000,5.17000000,1711324816813,1711324816880
4271040884139,0.05143000,4.82000000,0.05144000,5.05000000,1711324817991,1711324817998
4271040983359,0.05143000,4.82000000,0.05144000,4.82000000,1711324819448,1711324819454
4271041070972,0.05143000,4.82000000,0.05144000,4.60000000,1711324820684,1711324820689
4271041106366,0.05143000,4.82000000,0.05144000,4.35000000,1711324821095,1711324821103
4271041106601,0.05143000,4.82000000,0.05144000,4.00000000,1711324821096,1711324821104
4271041106879,0.05143000,4.82000000,0.05144000,3.83000000,1711324821097,1711324821104
4271041107153,0.05143000,4.82000000,0.05144000,3.59000000,1711324821098,1711324821105
4271041108148,0.05143000,4.82000000,0.05144000,3.37000000,1711324821101,1711324821108
4271041112498,0.05143000,4.82000000,0.05144000,3.13000000,1711324821118,1711324821125
4271041112834,0.05143000,4.82000000,0.05144000,2.91000000,1711324821120,1711324821128
4271041113453,0.05143000,4.82000000,0.05144000,2.71000000,1711324821122,1711324821129
4271041114188,0.05143000,4.82000000,0.05144000,2.69000000,1711324821125,1711324821130
4271041115821,0.05143000,4.82000000,0.05144000,2.62000000,1711324821132,1711324821140
4271041116524,0.05143000,4.82000000,0.05144000,2.31000000,1711324821134,1711324821142
4271041116851,0.05143000,4.82000000,0.05144000,2.19000000,1711324821135,1711324821142
4271041118127,0.05143000,4.82000000,0.05144000,1.90000000,1711324821140,1711324821147
4271041119623,0.05143000,4.82000000,0.05144000,1.84000000,1711324821145,1711324821150
4271041120424,0.05143000,4.82000000,0.05144000,1.72000000,1711324821147,1711324821157
4271041125302,0.05143000,4.82000000,0.05144000,1.62000000,1711324821168,1711324821176
4271041130374,0.05143000,4.82000000,0.05144000,1.39000000,1711324821195,1711324821200
4271041131002,0.05143000,4.82000000,0.05144000,1.10000000,1711324821197,1711324821201
4271041142830,0.05143000,4.82000000,0.05144000,1.00000000,1711324821236,1711324821243
4271041142930,0.05143000,4.82000000,0.05144000,2.55000000,1711324821236,1711324821243
4271041143580,0.05143000,4.82000000,0.05144000,2.29000000,1711324821238,1711324821245
4271041157667,0.05143000,4.82000000,0.05144000,1.94000000,1711324821300,1711324821307
4271041169198,0.05143000,5.62000000,0.05144000,1.94000000,1711324821386,1711324821393
4271041172228,0.05143000,4.82000000,0.05144000,1.94000000,1711324821412,1711324821418
4271041296001,0.05143000,4.82000000,0.05144000,1.74000000,1711324822846,1711324822853
4271041299014,0.05143000,5.62000000,0.05144000,1.74000000,1711324822865,1711324822871
4271041376702,0.05143000,5.62000000,0.05144000,1.55000000,1711324823364,1711324823372
4271041376971,0.05143000,5.62000000,0.05144000,1.18000000,1711324823366,1711324823372
4271041378667,0.05143000,7.22000000,0.05144000,1.18000000,1711324823372,1711324823377
4271041381390,0.05143000,7.62000000,0.05144000,1.18000000,1711324823381,1711324823389
4271041389499,0.05143000,7.62000000,0.05144000,0.84000000,1711324823412,1711324823418
4271041389992,0.05143000,7.62000000,0.05144000,0.80000000,1711324823414,1711324823421
4271041396388,0.05143000,7.62000000,0.05144000,0.57000000,1711324823439,1711324823445
4271041397070,0.05144000,0.96000000,0.05145000,15.37000000,1711324823443,1711324823447
4271041403398,0.05144000,2.36000000,0.05145000,15.37000000,1711324823484,1711324823489
4271041424674,0.05144000,2.36000000,0.05145000,16.72000000,1711324823668,1711324823675
4271041424757,0.05144000,3.91000000,0.05145000,16.72000000,1711324823668,1711324823675
4271041425148,0.05144000,3.91000000,0.05145000,18.17000000,1711324823671,1711324823677
4271041425229,0.05144000,5.22000000,0.05145000,18.17000000,1711324823672,1711324823677
4271041708030,0.05144000,5.22000000,0.05145000,18.27000000,1711324826558,1711324826564
4271041800993,0.05144000,5.22000000,0.05145000,17.46000000,1711324827549,1711324827560
4271041802035,0.05144000,5.22000000,0.05145000,17.34000000,1711324827552,1711324827561
4271041802183,0.05144000,5.22000000,0.05145000,17.11000000,1711324827553,1711324827561
4271041803530,0.05144000,5.22000000,0.05145000,16.88000000,1711324827558,1711324827564
4271041806702,0.05144000,5.22000000,0.05145000,16.78000000,1711324827571,1711324827579
4271041814074,0.05144000,5.22000000,0.05145000,16.34000000,1711324827617,1711324827623
4271041814079,0.05144000,5.22000000,0.05145000,15.90000000,1711324827617,1711324827623
4271041814084,0.05144000,5.22000000,0.05145000,15.68000000,1711324827617,1711324827623
4271041814570,0.05144000,5.22000000,0.05145000,15.46000000,1711324827620,1711324827626
4271041819148,0.05144000,5.22000000,0.05145000,15.16000000,1711324827642,1711324827648
4271041825661,0.05144000,5.22000000,0.05145000,14.58000000,1711324827694,1711324827700
4271041825734,0.05144000,5.22000000,0.05145000,14.34000000,1711324827695,1711324827702
4271041825891,0.05144000,5.22000000,0.05145000,14.12000000,1711324827696,1711324827702
4271041887231,0.05144000,5.22000000,0.05145000,13.88000000,1711324828489,1711324828496
4271041887275,0.05144000,5.22000000,0.05145000,13.46000000,1711324828489,1711324828496
4271041929962,0.05144000,6.82000000,0.05145000,13.46000000,1711324829112,1711324829117
4271041966603,0.05144000,6.82000000,0.05145000,13.44000000,1711324829779,1711324829785
4271042097058,0.05144000,8.42000000,0.05145000,13.44000000,1711324831223,1711324831230
4271042098802,0.05144000,6.82000000,0.05145000,13.44000000,1711324831241,1711324831246
4271042115191,0.05144000,6.82000000,0.05145000,13.21000000,1711324831418,1711324831426
4271042121271,0.05144000,6.82000000,0.05145000,13.16000000,1711324831515,1711324831519
4271042152991,0.05144000,6.82000000,0.05145000,12.78000000,1711324831949,1711324831957
4271042153026,0.05144000,6.82000000,0.05145000,12.69000000,1711324831949,1711324831957
4271042153074,0.05144000,6.82000000,0.05145000,12.65000000,1711324831950,1711324831958
4271042153487,0.05144000,6.82000000,0.05145000,12.42000000,1711324831955,1711324831960
4271042153726,0.05144000,6.82000000,0.05145000,12.05000000,1711324831957,1711324831962
4271042153945,0.05144000,6.82000000,0.05145000,11.90000000,1711324831960,1711324831967
4271042154178,0.05144000,6.82000000,0.05145000,11.74000000,1711324831962,1711324831967
4271042154198,0.05144000,6.82000000,0.05145000,11.66000000,1711324831962,1711324831967
4271042157686,0.05144000,6.82000000,0.05145000,11.43000000,1711324832009,1711324832015
4271042158628,0.05144000,6.82000000,0.05145000,11.08000000,1711324832014,1711324832021
4271042196869,0.05144000,6.82000000,0.05145000,10.93000000,1711324832428,1711324832434
4271042271320,0.05144000,7.71000000,0.05145000,10.93000000,1711324833347,1711324833353
4271042284726,0.05144000,7.71000000,0.05145000,10.78000000,1711324833579,1711324833584
4271042286138,0.05144000,7.71000000,0.05145000,10.70000000,1711324833601,1711324833607
4271042350381,0.05144000,7.71000000,0.05145000,10.68000000,1711324834444,1711324834450
4271042500836,0.05144000,6.11000000,0.05145000,10.68000000,1711324835789,1711324835798
4271042501256,0.05144000,7.31000000,0.05145000,10.68000000,1711324835792,1711324835800
4271042802393,0.05144000,7.31000000,0.05145000,10.96000000,1711324839932,1711324839945
4271042804888,0.05144000,6.35000000,0.05145000,10.96000000,1711324839937,1711324839951
4271042823495,0.05144000,5.15000000,0.05145000,10.96000000,1711324839993,1711324840005
4271042849292,0.05144000,5.15000000,0.05145000,10.68000000,1711324840075,1711324840090
4271042888501,0.05144000,5.19000000,0.05145000,10.68000000,1711324840253,1711324840261
4271042888793,0.05144000,5.24000000,0.05145000,10.68000000,1711324840256,1711324840262
4271042906111,0.05144000,5.59000000,0.05145000,10.68000000,1711324840402,1711324840407
4271042926560,0.05144000,6.11000000,0.05145000,10.68000000,1711324840677,1711324840685
4271042929900,0.05144000,6.11000000,0.05145000,10.30000000,1711324840685,1711324840694
4271042940843,0.05144000,7.71000000,0.05145000,10.30000000,1711324840734,1711324840740
4271043402151,0.05144000,6.11000000,0.05145000,10.30000000,1711324848063,1711324848069
4271043402376,0.05144000,6.51000000,0.05145000,10.30000000,1711324848066,1711324848071
4271043402583,0.05144000,6.11000000,0.05145000,10.30000000,1711324848069,1711324848073
4271043431434,0.05144000,7.71000000,0.05145000,10.30000000,1711324848623,1711324848629
4271043446147,0.05144000,7.71000000,0.05145000,10.17000000,1711324848832,1711324848841
4271043447332,0.05144000,7.71000000,0.05145000,9.87000000,1711324848836,1711324848844
4271043447338,0.05144000,7.71000000,0.05145000,9.74000000,1711324848837,1711324848844
4271043447353,0.05144000,7.71000000,0.05145000,9.66000000,1711324848837,1711324848844
4271043447659,0.05144000,7.71000000,0.05145000,9.47000000,1711324848838,1711324848846
4271043447771,0.05144000,7.71000000,0.05145000,9.41000000,1711324848839,1711324848846
4271043448535,0.05144000,7.71000000,0.05145000,9.37000000,1711324848843,1711324848851
4271043448809,0.05144000,7.71000000,0.05145000,9.17000000,1711324848844,1711324848851
4271043455102,0.05144000,7.71000000,0.05145000,8.94000000,1711324848884,1711324848890
4271043455300,0.05144000,7.71000000,0.05145000,8.72000000,1711324848887,1711324848892
4271043455524,0.05144000,7.71000000,0.05145000,8.49000000,1711324848888,1711324848894
4271043464428,0.05144000,7.71000000,0.05145000,7.98000000,1711324849002,1711324849012
4271043641544,0.05144000,7.71000000,0.05145000,7.76000000,1711324851671,1711324851677
4271043834839,0.05144000,7.71000000,0.05145000,7.73000000,1711324854866,1711324854872
4271043846162,0.05144000,7.71000000,0.05145000,7.31000000,1711324854952,1711324854958
4271043848725,0.05144000,7.71000000,0.05145000,7.08000000,1711324854990,1711324854996
4271043893238,0.05144000,7.71000000,0.05145000,6.98000000,1711324855769,1711324855775
4271043894018,0.05144000,7.71000000,0.05145000,7.08000000,1711324855787,1711324855793
4271043917122,0.05144000,6.11000000,0.05145000,7.08000000,1711324856051,1711324856057
4271043950910,0.05144000,5.22000000,0.05145000,7.08000000,1711324856460,1711324856469
4271044788817,0.05144000,5.22000000,0.05145000,7.05000000,1711324866922,1711324866928
4271044913663,0.05144000,5.19000000,0.05145000,7.05000000,1711324868281,1711324868287
4271044941533,0.05144000,6.11000000,0.05145000,7.05000000,1711324868576,1711324868580
4271045079974,0.05144000,7.71000000,0.05145000,7.05000000,1711324869754,1711324869761
4271045360664,0.05144000,7.71000000,0.05145000,6.83000000,1711324872057,1711324872064
4271045365238,0.05144000,7.71000000,0.05145000,6.57000000,1711324872086,1711324872093
4271045366875,0.05144000,7.71000000,0.05145000,6.34000000,1711324872101,1711324872106
4271045367375,0.05144000,7.71000000,0.05145000,6.32000000,1711324872105,1711324872111
4271045367407,0.05144000,7.71000000,0.05145000,6.11000000,1711324872105,1711324872111
4271045390961,0.05144000,7.71000000,0.05145000,5.87000000,1711324872350,1711324872358
4271045676409,0.05144000,6.11000000,0.05145000,5.87000000,1711324875141,1711324875149
4271045755245,0.05144000,5.59000000,0.05145000,5.87000000,1711324875871,1711324875877
4271045755254,0.05144000,5.24000000,0.05145000,5.87000000,1711324875871,1711324875877
4271045755404,0.05144000,5.20000000,0.05145000,5.87000000,1711324875871,1711324875878
4271045755488,0.05144000,5.15000000,0.05145000,5.87000000,1711324875871,1711324875878
4271045756079,0.05144000,5.15000000,0.05145000,5.94000000,1711324875874,1711324875880
4271045767841,0.05144000,4.23000000,0.05145000,5.94000000,1711324875982,1711324875988
4271045854101,0.05144000,4.23000000,0.05145000,6.72000000,1711324876895,1711324876902
4271045854192,0.05144000,4.23000000,0.05145000,6.83000000,1711324876895,1711324876902
4271046253292,0.05144000,4.23000000,0.05145000,6.60000000,1711324880692,1711324880699
4271046639981,0.05144000,4.23000000,0.05145000,6.50000000,1711324885012,1711324885019
4271046644678,0.05144000,4.23000000,0.05145000,6.60000000,1711324885035,1711324885041
4271047456572,0.05144000,4.23000000,0.05145000,5.82000000,1711324889489,1711324889498
4271047824906,0.05144000,4.23000000,0.05145000,6.14000000,1711324891255,1711324891261
4271047825154,0.05144000,4.23000000,0.05145000,6.26000000,1711324891256,1711324891262
4271047826729,0.05144000,4.23000000,0.05145000,6.60000000,1711324891263,1711324891272
4271047951123,0.05144000,2.86000000,0.05145000,6.60000000,1711324892232,1711324892241
4271047952167,0.05144000,1.55000000,0.05145000,6.60000000,1711324892237,1711324892245
4271048009762,0.05143000,1.58000000,0.05145000,6.60000000,1711324892694,1711324892700
4271048010029,0.05143000,2.97000000,0.05145000,6.60000000,1711324892697,1711324892702
