update_id,best_bid_price,best_bid_qty,best_ask_price,best_ask_qty,transaction_time,event_time
4257820862424,0.05232000,4.66000000,0.05233000,6.21000000,1711152002075,1711152002981
4257822438882,0.05232000,4.66000000,0.05233000,7.95000000,1711152004365,1711152007119
4257822517831,0.05232000,4.51000000,0.05233000,7.95000000,1711152004501,1711152007270
4257822517884,0.05232000,3.94000000,0.05233000,7.95000000,1711152004501,1711152007270
4257822517916,0.05232000,3.56000000,0.05233000,7.95000000,1711152004501,1711152007271
4257822624523,0.05232000,3.56000000,0.05233000,7.56000000,1711152004845,1711152007546
4257822665259,0.05232000,3.56000000,0.05233000,7.39000000,1711152005146,1711152007615
4257822665266,0.05232000,3.56000000,0.05233000,7.31000000,1711152005146,1711152007615
4257822737656,0.05232000,3.56000000,0.05233000,7.70000000,1711152005422,1711152007797
4257822778387,0.05232000,3.56000000,0.05233000,7.31000000,1711152005578,1711152007869
4257822806754,0.05232000,3.56000000,0.05233000,5.57000000,1711152005704,1711152007965
4257822884521,0.05232000,3.56000000,0.05233000,5.74000000,1711152006046,1711152008146
4257822884720,0.05232000,3.56000000,0.05233000,5.82000000,1711152006047,1711152008147
4257823028262,0.05232000,3.56000000,0.05233000,6.21000000,1711152006920,1711152008579
4257823030176,0.05232000,3.56000000,0.05233000,7.95000000,1711152006932,1711152008583
4257823267030,0.05232000,3.56000000,0.05233000,7.79000000,1711152008523,1711152009263
4257823298223,0.05232000,3.56000000,0.05233000,7.49000000,1711152008733,1711152009336
4257823302301,0.05232000,3.56000000,0.05233000,7.25000000,1711152008785,1711152009396
4257823314585,0.05232000,3.56000000,0.05233000,6.98000000,1711152008842,1711152009434
4257823394617,0.05232000,3.56000000,0.05233000,6.59000000,1711152009505,1711152009742
4257823394973,0.05232000,3.56000000,0.05233000,4.85000000,1711152009507,1711152009742
4257823395932,0.05232000,3.56000000,0.05233000,4.70000000,1711152009512,1711152009745
4257823399087,0.05232000,3.56000000,0.05233000,4.66000000,1711152009546,1711152009752
4257823399871,0.05232000,3.56000000,0.05233000,4.42000000,1711152009557,1711152009754
4257823401158,0.05232000,3.56000000,0.05233000,4.32000000,1711152009579,1711152009760
4257823401481,0.05232000,3.56000000,0.05233000,4.18000000,1711152009586,1711152009760
4257823401618,0.05232000,3.56000000,0.05233000,4.09000000,1711152009587,1711152009760
4257823401937,0.05232000,3.56000000,0.05233000,3.85000000,1711152009589,1711152009761
4257823403479,0.05232000,3.56000000,0.05233000,3.83000000,1711152009597,1711152009764
4257823403505,0.05232000,3.56000000,0.05233000,3.38000000,1711152009597,1711152009764
4257823414929,0.05232000,3.56000000,0.05233000,3.34000000,1711152009703,1711152009799
4257823414938,0.05232000,3.56000000,0.05233000,3.21000000,1711152009703,1711152009799
4257823414961,0.05232000,3.56000000,0.05233000,2.68000000,1711152009703,1711152009799
4257823416916,0.05232000,3.56000000,0.05233000,2.09000000,1711152009714,1711152009801
4257823417243,0.05232000,3.56000000,0.05233000,1.62000000,1711152009716,1711152009801
4257823417687,0.05232000,3.56000000,0.05233000,0.25000000,1711152009723,1711152009803
4257823452968,0.05232000,3.56000000,0.05233000,0.10000000,1711152010148,1711152010176
4257823456542,0.05232000,3.56000000,0.05233000,0.08000000,1711152010178,1711152010186
4257823552266,0.05232000,3.56000000,0.05234000,3.19000000,1711152011146,1711152011196
4257823554599,0.05232000,3.56000000,0.05234000,4.63000000,1711152011172,1711152011204
4257823554605,0.05233000,0.33000000,0.05234000,4.63000000,1711152011172,1711152011204
4257823554610,0.05233000,1.67000000,0.05234000,4.63000000,1711152011172,1711152011204
